TID,TNAME,TAREA,ADDRESS
1,金逸国际影城南湖店,洪山区,武昌区丁字桥南路518号南国南湖城市广场3楼
2,洪山天河影城,洪山区,湖北省洪山区珞瑜路6号
3,光谷正华银兴影城,洪山区,洪山区民族大道158号光谷时间广场3楼
4,华谊兄弟光谷天地影院,洪山区,洪山区关山大道光谷天地F1区三楼
5,巨幕影城光谷广场资本大厦店,洪山区,洪山区光谷广场光谷资本大厦四楼
6,CGV星聚汇影院光谷店,洪山区,东湖新技术开发区光谷步行街4期德国风情街8号楼3F
7,华夏国际影城鲁广店,洪山区,东湖高新技术开发区珞喻路 726 号
8,CGV国际影城,洪山区,湖北青山区和平大道809号奥山世纪广场3楼
9,天河欢乐汇影城,洪山区,书城路18号欢乐汇大楼5层
10,银兴菲林佰港城店,洪山区,北港村文治街武昌府维佳佰港城广场四楼
11,幸福蓝海国际影城雄楚店,洪山区,雄楚大道888号金地中心城雄楚一号4楼
12,耀莱成龙国际影城,洪山区,珞喻路889号融众国际大厦6-7层
13,万达影城春树里店,武昌区,武昌区中北路166号岳家嘴东湖春树里购物中心四层
14,洪山礼堂,武昌区,武昌区洪山路81号
15,洪山礼堂银兴电影城,武昌区,水果湖洪山路81号洪山礼堂
16,金逸国际影城店,武昌区,湖北省武昌徐东大街18号销品茂5楼
17,湖北剧院银兴影城,武昌区,武昌区阅马场湖北剧院一楼、四楼
18,江汉环球电影城,武昌区,武昌区司门口解放路464号原江汉剧场户部巷对面
19,亚贸兴汇影城,武昌区,武昌区武珞路628号亚贸广场购物中心6楼
20,横店影视电影城武昌店,武昌区,张之洞路南国首义汇广场南三楼
21,金逸国际影城中南店,武昌区,武昌区武昌武珞路442号
22,银兴菲林影城福克茂店,武昌区,湖北武昌区友谊大道团结村路福客茂五楼
23,银兴菲林国际影城群星城店,武昌区,徐东大街120号群星城五楼
24,星美国际影城漫时区店,武昌区,友谊大道福星惠誉漫时区3栋3楼星美国际影城
25,卢米埃凯德181影城,武昌区,武昌区中北路23号凯德广场1818中心七楼
26,华夏国际影城后湖百步亭店,江岸区,江岸区后湖大道268号新生活摩尔城3楼
27,中影国际影城东购店,江岸区,江岸区二七路汉口东部购物公园C2栋4楼
28,CGV星星国际影城,江岸区,江岸区芦沟桥路28号 天地11号楼
29,奥斯卡上东汇影城,江岸区,湖北武昌区江岸区黄浦路68号，上东汇广场6楼，161医院旁
30,城市广场摩尔国际电影城,江岸区,后湖大道111号汉口城市广场A座3楼
31,银兴乐天电影城,江汉区,江汉区万松园路100号西园步行街三楼
32,武商摩尔国际电影城,江汉区,江汉区解放大道690号7、8楼
33,万达影城菱角湖店,江汉区,江汉区新华西路唐家墩5号，菱角湖万达广场娱乐楼四层
34,万达国际电影城,江汉区,江汉区交通路1号万达商业广场C座二层
35,环艺电影城,江汉区,中山大道608号新民众乐园4楼
36,金逸国际影城杨汊湖店,江汉区,江汉区姑嫂树路12号，南国北都城市广场3F
37,泛海国际影城,江汉区,云彩路198号泛海城市购物中心五层
38,银兴乐天影城江夏店,江夏区,江夏大道128号附1号中央大街2号楼4层
39,大地数字影院宜家,江夏区,江夏区兴新街宜佳广场四楼
40,大地影院江夏店,江夏区,江夏区兴新街136号宜佳广场四楼东侧
41,高德国际影城,江夏区,文华路37号中百广场6楼
42,金逸国际影城武胜路店,硚口区,兰州市安宁区安宁西路3号康桥国际购物中心5层
43,橙天嘉禾南国西汇影城,硚口区,解放大道387号汉口宗关水厂南国西汇城市广场二期5楼
44,金逸IMAX荟聚店,硚口区,长宜路1号荟聚购物中心4层金逸影城
45,武商众圆摩尔国际电影城,青山区,和平大道959号武商众圆广场4—5楼
46,金逸国际影城王家湾店,汉阳区,汉阳区王家湾龙阳大道特6号摩尔城C区5楼
47,汉阳天河国际影城,汉阳区,汉阳大道687号，汉商21购物娱乐中心三楼
48,大地影院-汉阳新世界,汉阳区,汉阳区鹦鹉大道27号新世界百货5楼
49,百老汇影院,汉阳区,龙阳大道58号汉阳人信汇商业中心A座4层
50,金逸国际影城吴家山北冰洋店,东西湖区,吴家山四明路北冰洋城市广场4楼
51,CGV星聚汇影城金银潭店,东西湖区,将军路街道办事处金银潭大道1号永旺梦乐城三层
52,横店电影城汇和店,东西湖区,东西湖区花园中路轨道交通2号线常青花园地铁站汇和城购物中心五楼
53,大地数字影院湘隆时代广场,蔡甸区,沌口经济技术开发区宁康路湘隆时代广场B1栋5楼
54,华谊兄弟黄陂影城,黄陂区,黄陂区黄陂大道387号黄陂广场C座
TID,TNAME,TAREA,ADDRESS
1,金逸国际影城南湖店,洪山区,武昌区丁字桥南路518号南国南湖城市广场3楼
2,洪山天河影城,洪山区,湖北省洪山区珞瑜路6号
3,光谷正华银兴影城,洪山区,洪山区民族大道158号光谷时间广场3楼
4,华谊兄弟光谷天地影院,洪山区,洪山区关山大道光谷天地F1区三楼
5,巨幕影城光谷广场资本大厦店,洪山区,洪山区光谷广场光谷资本大厦四楼
6,CGV星聚汇影院光谷店,洪山区,东湖新技术开发区光谷步行街4期德国风情街8号楼3F
7,华夏国际影城鲁广店,洪山区,东湖高新技术开发区珞喻路 726 号
8,CGV国际影城,洪山区,湖北青山区和平大道809号奥山世纪广场3楼
9,天河欢乐汇影城,洪山区,书城路18号欢乐汇大楼5层
10,银兴菲林佰港城店,洪山区,北港村文治街武昌府维佳佰港城广场四楼
11,幸福蓝海国际影城雄楚店,洪山区,雄楚大道888号金地中心城雄楚一号4楼
12,耀莱成龙国际影城,洪山区,珞喻路889号融众国际大厦6-7层
13,万达影城春树里店,武昌区,武昌区中北路166号岳家嘴东湖春树里购物中心四层
14,洪山礼堂,武昌区,武昌区洪山路81号
15,洪山礼堂银兴电影城,武昌区,水果湖洪山路81号洪山礼堂
16,金逸国际影城店,武昌区,湖北省武昌徐东大街18号销品茂5楼
17,湖北剧院银兴影城,武昌区,武昌区阅马场湖北剧院一楼、四楼
18,江汉环球电影城,武昌区,武昌区司门口解放路464号原江汉剧场户部巷对面
19,亚贸兴汇影城,武昌区,武昌区武珞路628号亚贸广场购物中心6楼
20,横店影视电影城武昌店,武昌区,张之洞路南国首义汇广场南三楼
21,金逸国际影城中南店,武昌区,武昌区武昌武珞路442号
22,银兴菲林影城福克茂店,武昌区,湖北武昌区友谊大道团结村路福客茂五楼
23,银兴菲林国际影城群星城店,武昌区,徐东大街120号群星城五楼
24,星美国际影城漫时区店,武昌区,友谊大道福星惠誉漫时区3栋3楼星美国际影城
25,卢米埃凯德181影城,武昌区,武昌区中北路23号凯德广场1818中心七楼
26,华夏国际影城后湖百步亭店,江岸区,江岸区后湖大道268号新生活摩尔城3楼
27,中影国际影城东购店,江岸区,江岸区二七路汉口东部购物公园C2栋4楼
28,CGV星星国际影城,江岸区,江岸区芦沟桥路28号 天地11号楼
29,奥斯卡上东汇影城,江岸区,湖北武昌区江岸区黄浦路68号，上东汇广场6楼，161医院旁
30,城市广场摩尔国际电影城,江岸区,后湖大道111号汉口城市广场A座3楼
31,银兴乐天电影城,江汉区,江汉区万松园路100号西园步行街三楼
32,武商摩尔国际电影城,江汉区,江汉区解放大道690号7、8楼
33,万达影城菱角湖店,江汉区,江汉区新华西路唐家墩5号，菱角湖万达广场娱乐楼四层
34,万达国际电影城,江汉区,江汉区交通路1号万达商业广场C座二层
35,环艺电影城,江汉区,中山大道608号新民众乐园4楼
36,金逸国际影城杨汊湖店,江汉区,江汉区姑嫂树路12号，南国北都城市广场3F
37,泛海国际影城,江汉区,云彩路198号泛海城市购物中心五层
38,银兴乐天影城江夏店,江夏区,江夏大道128号附1号中央大街2号楼4层
39,大地数字影院宜家,江夏区,江夏区兴新街宜佳广场四楼
40,大地影院江夏店,江夏区,江夏区兴新街136号宜佳广场四楼东侧
41,高德国际影城,江夏区,文华路37号中百广场6楼
42,金逸国际影城武胜路店,硚口区,兰州市安宁区安宁西路3号康桥国际购物中心5层
43,橙天嘉禾南国西汇影城,硚口区,解放大道387号汉口宗关水厂南国西汇城市广场二期5楼
44,金逸IMAX荟聚店,硚口区,长宜路1号荟聚购物中心4层金逸影城
45,武商众圆摩尔国际电影城,青山区,和平大道959号武商众圆广场4—5楼
46,金逸国际影城王家湾店,汉阳区,汉阳区王家湾龙阳大道特6号摩尔城C区5楼
47,汉阳天河国际影城,汉阳区,汉阳大道687号，汉商21购物娱乐中心三楼
48,大地影院-汉阳新世界,汉阳区,汉阳区鹦鹉大道27号新世界百货5楼
49,百老汇影院,汉阳区,龙阳大道58号汉阳人信汇商业中心A座4层
50,金逸国际影城吴家山北冰洋店,东西湖区,吴家山四明路北冰洋城市广场4楼
51,CGV星聚汇影城金银潭店,东西湖区,将军路街道办事处金银潭大道1号永旺梦乐城三层
52,横店电影城汇和店,东西湖区,东西湖区花园中路轨道交通2号线常青花园地铁站汇和城购物中心五楼
53,大地数字影院湘隆时代广场,蔡甸区,沌口经济技术开发区宁康路湘隆时代广场B1栋5楼
54,华谊兄弟黄陂影城,黄陂区,黄陂区黄陂大道387号黄陂广场C座
